file,status,detail
docs\xhs-watch-party-campaign\day-23\03-merchant.png,replaced,"box=263,1385,430,151 text=一火星探索日志·火箭观礼 color=#713F12"
docs\xhs-watch-party-campaign\day-24\01-cover.png,replaced,"box=103,0,299,107 text=火星探索日志 color=#3F6212"
docs\xhs-watch-party-campaign\day-24\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-24\03-merchant.png,replaced,"box=299,1404,430,132 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-25\01-cover.png,replaced,"box=110,28,430,99 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-25\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-25\03-merchant.png,replaced,"box=289,1421,430,108 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-26\01-cover.png,replaced,"box=111,1193,430,153 text=火星探索日志 color=#0F766E"
docs\xhs-watch-party-campaign\day-26\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-26\03-merchant.png,replaced,"box=92,1379,359,118 text=火星探索日志 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-27\01-cover.png,replaced,"box=122,21,430,93 text=火星探索日志·火箭观礼 color=#334155"
docs\xhs-watch-party-campaign\day-27\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-27\03-merchant.png,replaced,"box=302,1373,430,118 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-28\01-cover.png,replaced,"box=127,24,430,97 text=火星探索日志·火箭观礼 color=#A16207"
docs\xhs-watch-party-campaign\day-28\02-info.png,replaced,"box=294,1422,430,85 text=‧火星探索日志·火箭观礼 color=#A16207"
docs\xhs-watch-party-campaign\day-28\03-merchant.png,replaced,"box=339,1398,430,138 text=火星探索日志··火箭观礼 color=#A16207"
docs\xhs-watch-party-campaign\day-29\01-cover.png,replaced,"box=477,1361,430,153 text=火星探索日志·火箭观礼 color=#15803D"
docs\xhs-watch-party-campaign\day-29\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-29\03-merchant.png,replaced,"box=300,1394,430,108 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-30\01-cover.png,replaced,"box=300,1342,430,153 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-30\02-info.png,replaced,"box=314,1430,430,99 text=?火星探索日志·火箭观礼· color=#F5E6C8"
docs\xhs-watch-party-campaign\day-30\03-merchant.png,replaced,"box=305,1418,430,118 text=火星探索日志·火箭观礼·第30天 color=#F5E6C8"
